Meses,Producto,Region,Año,Valor
Mayo,Quesillos (Kilos),Ñuble,2004,0
Junio,Quesillos (Kilos),Ñuble,2004,0
Julio,Quesillos (Kilos),Ñuble,2004,0
Agosto,Quesillos (Kilos),Ñuble,2004,0
Septiembre,Quesillos (Kilos),Ñuble,2004,0
Octubre,Quesillos (Kilos),Ñuble,2004,0
Noviembre,Quesillos (Kilos),Ñuble,2004,0
Diciembre,Quesillos (Kilos),Ñuble,2004,0
Enero,Quesillos (Kilos),Biobío,2004,0
Febrero,Quesillos (Kilos),Biobío,2004,0
Marzo,Quesillos (Kilos),Biobío,2004,0
Abril,Quesillos (Kilos),Biobío,2004,0
Mayo,Quesillos (Kilos),Biobío,2004,0
Junio,Quesillos (Kilos),Biobío,2004,0
Julio,Quesillos (Kilos),Biobío,2004,0
Agosto,Quesillos (Kilos),Biobío,2004,0
Septiembre,Quesillos (Kilos),Biobío,2004,0
Octubre,Quesillos (Kilos),Biobío,2004,0
Noviembre,Quesillos (Kilos),Biobío,2004,0
Diciembre,Quesillos (Kilos),Biobío,2004,0
Enero,Quesillos (Kilos),La Araucanía,2004,0
Febrero,Quesillos (Kilos),La Araucanía,2004,0
Marzo,Quesillos (Kilos),La Araucanía,2004,0
Abril,Quesillos (Kilos),La Araucanía,2004,0
Mayo,Quesillos (Kilos),La Araucanía,2004,0
Junio,Quesillos (Kilos),La Araucanía,2004,0
Julio,Quesillos (Kilos),La Araucanía,2004,0
Agosto,Quesillos (Kilos),La Araucanía,2004,0
Septiembre,Quesillos (Kilos),La Araucanía,2004,0
Octubre,Quesillos (Kilos),La Araucanía,2004,0
Noviembre,Quesillos (Kilos),La Araucanía,2004,0
Diciembre,Quesillos (Kilos),La Araucanía,2004,0
Enero,Quesillos (Kilos),Los Ríos,2004,55699
Febrero,Quesillos (Kilos),Los Ríos,2004,92187
Marzo,Quesillos (Kilos),Los Ríos,2004,104700
Abril,Quesillos (Kilos),Los Ríos,2004,108445
Mayo,Quesillos (Kilos),Los Ríos,2004,80637
Junio,Quesillos (Kilos),Los Ríos,2004,81244
Julio,Quesillos (Kilos),Los Ríos,2004,111498
Agosto,Quesillos (Kilos),Los Ríos,2004,91007
Septiembre,Quesillos (Kilos),Los Ríos,2004,95108
Octubre,Quesillos (Kilos),Los Ríos,2004,111518
Noviembre,Quesillos (Kilos),Los Ríos,2004,129443
Diciembre,Quesillos (Kilos),Los Ríos,2004,135744
Enero,Quesillos (Kilos),Los Lagos,2004,13919
Febrero,Quesillos (Kilos),Los Lagos,2004,10645
Marzo,Quesillos (Kilos),Los Lagos,2004,12164
Abril,Quesillos (Kilos),Los Lagos,2004,11294
Mayo,Quesillos (Kilos),Los Lagos,2004,11372
Junio,Quesillos (Kilos),Los Lagos,2004,11040
Julio,Quesillos (Kilos),Los Lagos,2004,10671
Agosto,Quesillos (Kilos),Los Lagos,2004,11694
Septiembre,Quesillos (Kilos),Los Lagos,2004,12854
Octubre,Quesillos (Kilos),Los Lagos,2004,11106
Noviembre,Quesillos (Kilos),Los Lagos,2004,7909
Diciembre,Quesillos (Kilos),Los Lagos,2004,7460
Enero,Quesos (Kilos),Metropolitana,2004,160764
Febrero,Quesos (Kilos),Metropolitana,2004,160537
Marzo,Quesos (Kilos),Metropolitana,2004,157270
Abril,Quesos (Kilos),Metropolitana,2004,169931
Mayo,Quesos (Kilos),Metropolitana,2004,173748
Junio,Quesos (Kilos),Metropolitana,2004,156237
Julio,Quesos (Kilos),Metropolitana,2004,160021
Agosto,Quesos (Kilos),Metropolitana,2004,161543
Septiembre,Quesos (Kilos),Metropolitana,2004,157509
Octubre,Quesos (Kilos),Metropolitana,2004,169311
Noviembre,Quesos (Kilos),Metropolitana,2004,153810
Diciembre,Quesos (Kilos),Metropolitana,2004,159660
Enero,Quesos (Kilos),Ñuble,2004,0
Febrero,Quesos (Kilos),Ñuble,2004,0
Marzo,Quesos (Kilos),Ñuble,2004,0
Abril,Quesos (Kilos),Ñuble,2004,0
Mayo,Quesos (Kilos),Ñuble,2004,0
Junio,Quesos (Kilos),Ñuble,2004,0
Julio,Quesos (Kilos),Ñuble,2004,0
Agosto,Quesos (Kilos),Ñuble,2004,0
Septiembre,Quesos (Kilos),Ñuble,2004,0
Octubre,Quesos (Kilos),Ñuble,2004,0
Noviembre,Quesos (Kilos),Ñuble,2004,0
Diciembre,Quesos (Kilos),Ñuble,2004,0
Enero,Quesos (Kilos),Biobío,2004,231263
Febrero,Quesos (Kilos),Biobío,2004,246936
Marzo,Quesos (Kilos),Biobío,2004,246459
Abril,Quesos (Kilos),Biobío,2004,275029
Mayo,Quesos (Kilos),Biobío,2004,252754
Junio,Quesos (Kilos),Biobío,2004,214261
Julio,Quesos (Kilos),Biobío,2004,287022
Agosto,Quesos (Kilos),Biobío,2004,266268
Septiembre,Quesos (Kilos),Biobío,2004,267109
Octubre,Quesos (Kilos),Biobío,2004,282789
Noviembre,Quesos (Kilos),Biobío,2004,247326
Diciembre,Quesos (Kilos),Biobío,2004,269124
Enero,Quesos (Kilos),La Araucanía,2004,173996
Febrero,Quesos (Kilos),La Araucanía,2004,178302
Marzo,Quesos (Kilos),La Araucanía,2004,110176
Abril,Quesos (Kilos),La Araucanía,2004,58360
Mayo,Quesos (Kilos),La Araucanía,2004,60939
Junio,Quesos (Kilos),La Araucanía,2004,63596
Julio,Quesos (Kilos),La Araucanía,2004,117620
Agosto,Quesos (Kilos),La Araucanía,2004,72684
Septiembre,Quesos (Kilos),La Araucanía,2004,94372
Octubre,Quesos (Kilos),La Araucanía,2004,102552
Noviembre,Quesos (Kilos),La Araucanía,2004,122843
Diciembre,Quesos (Kilos),La Araucanía,2004,149297
Enero,Quesos (Kilos),Los Ríos,2004,2731410
Febrero,Quesos (Kilos),Los Ríos,2004,2170935
Marzo,Quesos (Kilos),Los Ríos,2004,2686370
Abril,Quesos (Kilos),Los Ríos,2004,2712258
Mayo,Quesos (Kilos),Los Ríos,2004,2842719
Junio,Quesos (Kilos),Los Ríos,2004,2613492
Julio,Quesos (Kilos),Los Ríos,2004,2344481
Agosto,Quesos (Kilos),Los Ríos,2004,2396832
Septiembre,Quesos (Kilos),Los Ríos,2004,2726958
Octubre,Quesos (Kilos),Los Ríos,2004,3023212
Noviembre,Quesos (Kilos),Los Ríos,2004,2852801
Diciembre,Quesos (Kilos),Los Ríos,2004,2860394
Enero,Quesos (Kilos),Los Lagos,2004,1731970
Febrero,Quesos (Kilos),Los Lagos,2004,1437958
Marzo,Quesos (Kilos),Los Lagos,2004,1415498
Abril,Quesos (Kilos),Los Lagos,2004,1373277
Mayo,Quesos (Kilos),Los Lagos,2004,1611539
Junio,Quesos (Kilos),Los Lagos,2004,1386152
Julio,Quesos (Kilos),Los Lagos,2004,1529903
Agosto,Quesos (Kilos),Los Lagos,2004,1476314
Septiembre,Quesos (Kilos),Los Lagos,2004,1655915
Octubre,Quesos (Kilos),Los Lagos,2004,2101746
Noviembre,Quesos (Kilos),Los Lagos,2004,2290555
Diciembre,Quesos (Kilos),Los Lagos,2004,2544923
Enero,Suero en polvo (Kilos),Biobío,2004,0
Febrero,Suero en polvo (Kilos),Biobío,2004,4950
Marzo,Suero en polvo (Kilos),Biobío,2004,0
Abril,Suero en polvo (Kilos),Biobío,2004,0
Mayo,Suero en polvo (Kilos),Biobío,2004,0
Junio,Suero en polvo (Kilos),Biobío,2004,7175
Julio,Suero en polvo (Kilos),Biobío,2004,15625
Agosto,Suero en polvo (Kilos),Biobío,2004,11275
Septiembre,Suero en polvo (Kilos),Biobío,2004,9525
Octubre,Suero en polvo (Kilos),Biobío,2004,7475
Noviembre,Suero en polvo (Kilos),Biobío,2004,2200
Diciembre,Suero en polvo (Kilos),Biobío,2004,1450
Enero,Suero en polvo (Kilos),La Araucanía,2004,80935
Febrero,Suero en polvo (Kilos),La Araucanía,2004,101780
Marzo,Suero en polvo (Kilos),La Araucanía,2004,64980
Abril,Suero en polvo (Kilos),La Araucanía,2004,35580
Mayo,Suero en polvo (Kilos),La Araucanía,2004,29375
Junio,Suero en polvo (Kilos),La Araucanía,2004,23375
Julio,Suero en polvo (Kilos),La Araucanía,2004,57500
Agosto,Suero en polvo (Kilos),La Araucanía,2004,39900
Septiembre,Suero en polvo (Kilos),La Araucanía,2004,39450
Octubre,Suero en polvo (Kilos),La Araucanía,2004,41600
Noviembre,Suero en polvo (Kilos),La Araucanía,2004,44500
Diciembre,Suero en polvo (Kilos),La Araucanía,2004,64450
Enero,Suero en polvo (Kilos),Los Ríos,2004,703750
Febrero,Suero en polvo (Kilos),Los Ríos,2004,477675
Marzo,Suero en polvo (Kilos),Los Ríos,2004,705600
Abril,Suero en polvo (Kilos),Los Ríos,2004,692175
Mayo,Suero en polvo (Kilos),Los Ríos,2004,746075
Junio,Suero en polvo (Kilos),Los Ríos,2004,659225
Julio,Suero en polvo (Kilos),Los Ríos,2004,556725
Agosto,Suero en polvo (Kilos),Los Ríos,2004,658750
Septiembre,Suero en polvo (Kilos),Los Ríos,2004,806875
Octubre,Suero en polvo (Kilos),Los Ríos,2004,930000
Noviembre,Suero en polvo (Kilos),Los Ríos,2004,876000
Diciembre,Suero en polvo (Kilos),Los Ríos,2004,862125
Enero,Suero en polvo (Kilos),Los Lagos,2004,472150
Febrero,Suero en polvo (Kilos),Los Lagos,2004,478850
Marzo,Suero en polvo (Kilos),Los Lagos,2004,612375
Abril,Suero en polvo (Kilos),Los Lagos,2004,761050
Mayo,Suero en polvo (Kilos),Los Lagos,2004,717095
Junio,Suero en polvo (Kilos),Los Lagos,2004,625971
Julio,Suero en polvo (Kilos),Los Lagos,2004,719725
Agosto,Suero en polvo (Kilos),Los Lagos,2004,675820
Septiembre,Suero en polvo (Kilos),Los Lagos,2004,501660
Octubre,Suero en polvo (Kilos),Los Lagos,2004,573973
Noviembre,Suero en polvo (Kilos),Los Lagos,2004,769051
Diciembre,Suero en polvo (Kilos),Los Lagos,2004,770917
Enero,Yogur (Litros),Metropolitana,2004,7329377
Febrero,Yogur (Litros),Metropolitana,2004,8221431
Marzo,Yogur (Litros),Metropolitana,2004,10183834
Abril,Yogur (Litros),Metropolitana,2004,9547350
Mayo,Yogur (Litros),Metropolitana,2004,9281989
Junio,Yogur (Litros),Metropolitana,2004,9461193
Julio,Yogur (Litros),Metropolitana,2004,9404766
Agosto,Yogur (Litros),Metropolitana,2004,10214128
Septiembre,Yogur (Litros),Metropolitana,2004,10787617
Octubre,Yogur (Litros),Metropolitana,2004,10247784
Noviembre,Yogur (Litros),Metropolitana,2004,10120741
Diciembre,Yogur (Litros),Metropolitana,2004,10147040
Enero,Yogur (Litros),Ñuble,2004,0
Febrero,Yogur (Litros),Ñuble,2004,0
Marzo,Yogur (Litros),Ñuble,2004,0
Abril,Yogur (Litros),Ñuble,2004,0
Mayo,Yogur (Litros),Ñuble,2004,0
Junio,Yogur (Litros),Ñuble,2004,0
Julio,Yogur (Litros),Ñuble,2004,0
Agosto,Yogur (Litros),Ñuble,2004,0
Septiembre,Yogur (Litros),Ñuble,2004,0
Octubre,Yogur (Litros),Ñuble,2004,0
Noviembre,Yogur (Litros),Ñuble,2004,0
Diciembre,Yogur (Litros),Ñuble,2004,0
Enero,Yogur (Litros),Biobío,2004,642305
Febrero,Yogur (Litros),Biobío,2004,460418
Marzo,Yogur (Litros),Biobío,2004,304557
Abril,Yogur (Litros),Biobío,2004,478505
Mayo,Yogur (Litros),Biobío,2004,472771
Junio,Yogur (Litros),Biobío,2004,561533
Julio,Yogur (Litros),Biobío,2004,803023
Agosto,Yogur (Litros),Biobío,2004,1328379
Septiembre,Yogur (Litros),Biobío,2004,1105070
Octubre,Yogur (Litros),Biobío,2004,1711506
Noviembre,Yogur (Litros),Biobío,2004,1525554
Diciembre,Yogur (Litros),Biobío,2004,912474
Enero,Yogur (Litros),La Araucanía,2004,1114277
Febrero,Yogur (Litros),La Araucanía,2004,1263041
Marzo,Yogur (Litros),La Araucanía,2004,1606290
Abril,Yogur (Litros),La Araucanía,2004,1640901
Mayo,Yogur (Litros),La Araucanía,2004,1478511
Junio,Yogur (Litros),La Araucanía,2004,1306315
Julio,Yogur (Litros),La Araucanía,2004,1052214
Agosto,Yogur (Litros),La Araucanía,2004,774715
Septiembre,Yogur (Litros),La Araucanía,2004,807696
Octubre,Yogur (Litros),La Araucanía,2004,964641
Noviembre,Yogur (Litros),La Araucanía,2004,884145
Diciembre,Yogur (Litros),La Araucanía,2004,848995
Enero,Yogur (Litros),Los Ríos,2004,768238
Febrero,Yogur (Litros),Los Ríos,2004,1025369
Marzo,Yogur (Litros),Los Ríos,2004,1140187
Abril,Yogur (Litros),Los Ríos,2004,1015790
Mayo,Yogur (Litros),Los Ríos,2004,1190956
Junio,Yogur (Litros),Los Ríos,2004,1279754
Julio,Yogur (Litros),Los Ríos,2004,1551543
Agosto,Yogur (Litros),Los Ríos,2004,1644799
Septiembre,Yogur (Litros),Los Ríos,2004,1500035
Octubre,Yogur (Litros),Los Ríos,2004,1566406
Noviembre,Yogur (Litros),Los Ríos,2004,1599158
Diciembre,Yogur (Litros),Los Ríos,2004,1302042
Enero,Yogur (Litros),Los Lagos,2004,247477
Febrero,Yogur (Litros),Los Lagos,2004,240377
Marzo,Yogur (Litros),Los Lagos,2004,242008
Abril,Yogur (Litros),Los Lagos,2004,439788
Mayo,Yogur (Litros),Los Lagos,2004,476589
Junio,Yogur (Litros),Los Lagos,2004,516501
Julio,Yogur (Litros),Los Lagos,2004,473805
Agosto,Yogur (Litros),Los Lagos,2004,590743
Septiembre,Yogur (Litros),Los Lagos,2004,547675
Octubre,Yogur (Litros),Los Lagos,2004,513972
Noviembre,Yogur (Litros),Los Lagos,2004,529229
Diciembre,Yogur (Litros),Los Lagos,2004,430737
Enero,Total leche fluida elaborada (Litros),Metropolitana,2005,8466793
Febrero,Total leche fluida elaborada (Litros),Metropolitana,2005,9061679
Marzo,Total leche fluida elaborada (Litros),Metropolitana,2005,12556851
Abril,Total leche fluida elaborada (Litros),Metropolitana,2005,10475631
Mayo,Total leche fluida elaborada (Litros),Metropolitana,2005,11047138
Junio,Total leche fluida elaborada (Litros),Metropolitana,2005,11297162
Julio,Total leche fluida elaborada (Litros),Metropolitana,2005,10892357
Agosto,Total leche fluida elaborada (Litros),Metropolitana,2005,12599887
Septiembre,Total leche fluida elaborada (Litros),Metropolitana,2005,9923551
Octubre,Total leche fluida elaborada (Litros),Metropolitana,2005,10298918
Noviembre,Total leche fluida elaborada (Litros),Metropolitana,2005,10292967
Diciembre,Total leche fluida elaborada (Litros),Metropolitana,2005,9850244
Enero,Total leche fluida elaborada (Litros),Ñuble,2005,0
Febrero,Total leche fluida elaborada (Litros),Ñuble,2005,0
Marzo,Total leche fluida elaborada (Litros),Ñuble,2005,0
Abril,Total leche fluida elaborada (Litros),Ñuble,2005,0
Mayo,Total leche fluida elaborada (Litros),Ñuble,2005,0
Junio,Total leche fluida elaborada (Litros),Ñuble,2005,0
Julio,Total leche fluida elaborada (Litros),Ñuble,2005,0
Agosto,Total leche fluida elaborada (Litros),Ñuble,2005,0
Septiembre,Total leche fluida elaborada (Litros),Ñuble,2005,0
Octubre,Total leche fluida elaborada (Litros),Ñuble,2005,0
Noviembre,Total leche fluida elaborada (Litros),Ñuble,2005,0
Diciembre,Total leche fluida elaborada (Litros),Ñuble,2005,0
Enero,Total leche fluida elaborada (Litros),Biobío,2005,677020
Febrero,Total leche fluida elaborada (Litros),Biobío,2005,941622
Marzo,Total leche fluida elaborada (Litros),Biobío,2005,1086210
Abril,Total leche fluida elaborada (Litros),Biobío,2005,942996
Mayo,Total leche fluida elaborada (Litros),Biobío,2005,881304
Junio,Total leche fluida elaborada (Litros),Biobío,2005,928092
Julio,Total leche fluida elaborada (Litros),Biobío,2005,1079004
Agosto,Total leche fluida elaborada (Litros),Biobío,2005,1302998
Septiembre,Total leche fluida elaborada (Litros),Biobío,2005,1553334
Octubre,Total leche fluida elaborada (Litros),Biobío,2005,774252
Noviembre,Total leche fluida elaborada (Litros),Biobío,2005,553248
Diciembre,Total leche fluida elaborada (Litros),Biobío,2005,593352
Enero,Total leche fluida elaborada (Litros),La Araucanía,2005,6994990
Febrero,Total leche fluida elaborada (Litros),La Araucanía,2005,6330810
Marzo,Total leche fluida elaborada (Litros),La Araucanía,2005,8841573
Abril,Total leche fluida elaborada (Litros),La Araucanía,2005,8890053
Mayo,Total leche fluida elaborada (Litros),La Araucanía,2005,8567958
Junio,Total leche fluida elaborada (Litros),La Araucanía,2005,8317057
Julio,Total leche fluida elaborada (Litros),La Araucanía,2005,8544296
Agosto,Total leche fluida elaborada (Litros),La Araucanía,2005,8751008
Septiembre,Total leche fluida elaborada (Litros),La Araucanía,2005,8901222
Octubre,Total leche fluida elaborada (Litros),La Araucanía,2005,9467130
Noviembre,Total leche fluida elaborada (Litros),La Araucanía,2005,9047739
Diciembre,Total leche fluida elaborada (Litros),La Araucanía,2005,8044026
Enero,Total leche fluida elaborada (Litros),Los Ríos,2005,4573241
Febrero,Total leche fluida elaborada (Litros),Los Ríos,2005,4363890
Marzo,Total leche fluida elaborada (Litros),Los Ríos,2005,4141493
Abril,Total leche fluida elaborada (Litros),Los Ríos,2005,4454542
Mayo,Total leche fluida elaborada (Litros),Los Ríos,2005,2777749
Junio,Total leche fluida elaborada (Litros),Los Ríos,2005,3562011
Julio,Total leche fluida elaborada (Litros),Los Ríos,2005,3750337
Agosto,Total leche fluida elaborada (Litros),Los Ríos,2005,4161491
Septiembre,Total leche fluida elaborada (Litros),Los Ríos,2005,4396397
Octubre,Total leche fluida elaborada (Litros),Los Ríos,2005,5282042
Noviembre,Total leche fluida elaborada (Litros),Los Ríos,2005,5597431
Diciembre,Total leche fluida elaborada (Litros),Los Ríos,2005,5098371
Enero,Total leche fluida elaborada (Litros),Los Lagos,2005,618806
Febrero,Total leche fluida elaborada (Litros),Los Lagos,2005,356022
Marzo,Total leche fluida elaborada (Litros),Los Lagos,2005,495989
Abril,Total leche fluida elaborada (Litros),Los Lagos,2005,516879
Mayo,Total leche fluida elaborada (Litros),Los Lagos,2005,589303
Junio,Total leche fluida elaborada (Litros),Los Lagos,2005,398971
Julio,Total leche fluida elaborada (Litros),Los Lagos,2005,518199
Agosto,Total leche fluida elaborada (Litros),Los Lagos,2005,369689
Septiembre,Total leche fluida elaborada (Litros),Los Lagos,2005,675045
Octubre,Total leche fluida elaborada (Litros),Los Lagos,2005,801534
Noviembre,Total leche fluida elaborada (Litros),Los Lagos,2005,962434
Diciembre,Total leche fluida elaborada (Litros),Los Lagos,2005,692673
Enero,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Febrero,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Marzo,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Abril,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Mayo,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Junio,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Julio,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Agosto,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Septiembre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Octubre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Noviembre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Diciembre,Leche en polvo 20 % m.g. (Kilos),Metropolitana,2005,0
Enero,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,103500
Febrero,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,22530
Marzo,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,0
Abril,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,0
Mayo,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,0
Junio,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,0
Julio,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,1740
Agosto,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,0
Septiembre,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,0
Octubre,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,15360
Noviembre,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,42900
Diciembre,Leche en polvo 20 % m.g. (Kilos),Biobío,2005,38280
Enero,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,1159983
Febrero,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,876508
Marzo,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,859384
Abril,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,667178
Mayo,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,745897
Junio,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,483677
Julio,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,345185
Agosto,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,380131
Septiembre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,354462
Octubre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,638368
Noviembre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,867029
Diciembre,Leche en polvo 20 % m.g. (Kilos),La Araucanía,2005,965498
Enero,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,903700
Febrero,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,300300
Marzo,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,93225
Abril,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,1675
Mayo,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,10125
Junio,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,4700
Julio,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,49125
Agosto,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,186150
Septiembre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,352575
Octubre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,769650
Noviembre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,786650
Diciembre,Leche en polvo 20 % m.g. (Kilos),Los Ríos,2005,785350
Enero,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,6976831
Febrero,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,4618844
Marzo,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,3542429
Abril,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,3314787
Mayo,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,3019261
Junio,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,1735805
Julio,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,2582630
Agosto,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,2856942
Septiembre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,3558368
Octubre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,5551728
Noviembre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,6190031
Diciembre,Leche en polvo 20 % m.g. (Kilos),Los Lagos,2005,6033994
Enero,Total leche en polvo (Kilos),Metropolitana,2005,0
Febrero,Total leche en polvo (Kilos),Metropolitana,2005,0
Marzo,Total leche en polvo (Kilos),Metropolitana,2005,0
Abril,Total leche en polvo (Kilos),Metropolitana,2005,0
Mayo,Total leche en polvo (Kilos),Metropolitana,2005,0
Junio,Total leche en polvo (Kilos),Metropolitana,2005,0
Julio,Total leche en polvo (Kilos),Metropolitana,2005,0
Agosto,Total leche en polvo (Kilos),Metropolitana,2005,0
Septiembre,Total leche en polvo (Kilos),Metropolitana,2005,0
Octubre,Total leche en polvo (Kilos),Metropolitana,2005,0
Noviembre,Total leche en polvo (Kilos),Metropolitana,2005,0
Diciembre,Total leche en polvo (Kilos),Metropolitana,2005,0
Enero,Total leche en polvo (Kilos),Biobío,2005,103500
Febrero,Total leche en polvo (Kilos),Biobío,2005,22530
Marzo,Total leche en polvo (Kilos),Biobío,2005,0
Abril,Total leche en polvo (Kilos),Biobío,2005,0
Mayo,Total leche en polvo (Kilos),Biobío,2005,0
Junio,Total leche en polvo (Kilos),Biobío,2005,0
Julio,Total leche en polvo (Kilos),Biobío,2005,1740
Agosto,Total leche en polvo (Kilos),Biobío,2005,0
Septiembre,Total leche en polvo (Kilos),Biobío,2005,0
Octubre,Total leche en polvo (Kilos),Biobío,2005,15360
Noviembre,Total leche en polvo (Kilos),Biobío,2005,42900
Diciembre,Total leche en polvo (Kilos),Biobío,2005,38280
Enero,Total leche en polvo (Kilos),La Araucanía,2005,1159983
Febrero,Total leche en polvo (Kilos),La Araucanía,2005,876508
Marzo,Total leche en polvo (Kilos),La Araucanía,2005,859384
Abril,Total leche en polvo (Kilos),La Araucanía,2005,667178
Mayo,Total leche en polvo (Kilos),La Araucanía,2005,745897
Junio,Total leche en polvo (Kilos),La Araucanía,2005,483677
Julio,Total leche en polvo (Kilos),La Araucanía,2005,345185
Agosto,Total leche en polvo (Kilos),La Araucanía,2005,380131
Septiembre,Total leche en polvo (Kilos),La Araucanía,2005,354462
Octubre,Total leche en polvo (Kilos),La Araucanía,2005,638368
Noviembre,Total leche en polvo (Kilos),La Araucanía,2005,867029
Diciembre,Total leche en polvo (Kilos),La Araucanía,2005,965498
Enero,Total leche en polvo (Kilos),Los Ríos,2005,903700
Febrero,Total leche en polvo (Kilos),Los Ríos,2005,300300
Marzo,Total leche en polvo (Kilos),Los Ríos,2005,93225
Abril,Total leche en polvo (Kilos),Los Ríos,2005,1675
Mayo,Total leche en polvo (Kilos),Los Ríos,2005,10125
Junio,Total leche en polvo (Kilos),Los Ríos,2005,4700
Julio,Total leche en polvo (Kilos),Los Ríos,2005,49125
Agosto,Total leche en polvo (Kilos),Los Ríos,2005,186150
Septiembre,Total leche en polvo (Kilos),Los Ríos,2005,352575
Octubre,Total leche en polvo (Kilos),Los Ríos,2005,769650
Noviembre,Total leche en polvo (Kilos),Los Ríos,2005,786650
Diciembre,Total leche en polvo (Kilos),Los Ríos,2005,785350
Enero,Total leche en polvo (Kilos),Los Lagos,2005,6976831
Febrero,Total leche en polvo (Kilos),Los Lagos,2005,4618844
Marzo,Total leche en polvo (Kilos),Los Lagos,2005,3542429
Abril,Total leche en polvo (Kilos),Los Lagos,2005,3314787
Mayo,Total leche en polvo (Kilos),Los Lagos,2005,3019261
Junio,Total leche en polvo (Kilos),Los Lagos,2005,1735805
Julio,Total leche en polvo (Kilos),Los Lagos,2005,2582630
Agosto,Total leche en polvo (Kilos),Los Lagos,2005,2856942
Septiembre,Total leche en polvo (Kilos),Los Lagos,2005,3558368
Octubre,Total leche en polvo (Kilos),Los Lagos,2005,5551728
Noviembre,Total leche en polvo (Kilos),Los Lagos,2005,6190031
Diciembre,Total leche en polvo (Kilos),Los Lagos,2005,6033994
Enero,Crema (Kilos),Metropolitana,2005,423180
Febrero,Crema (Kilos),Metropolitana,2005,349667
Marzo,Crema (Kilos),Metropolitana,2005,507387
Abril,Crema (Kilos),Metropolitana,2005,341952
Mayo,Crema (Kilos),Metropolitana,2005,517041
Junio,Crema (Kilos),Metropolitana,2005,387800
Julio,Crema (Kilos),Metropolitana,2005,418398
Agosto,Crema (Kilos),Metropolitana,2005,434065
Septiembre,Crema (Kilos),Metropolitana,2005,561480
Octubre,Crema (Kilos),Metropolitana,2005,546545
Noviembre,Crema (Kilos),Metropolitana,2005,1017556
Diciembre,Crema (Kilos),Metropolitana,2005,624438
Enero,Crema (Kilos),Ñuble,2005,0
Febrero,Crema (Kilos),Ñuble,2005,0
Marzo,Crema (Kilos),Ñuble,2005,0
Abril,Crema (Kilos),Ñuble,2005,0
